category,email_content
Work,"Project update meeting scheduled for tomorrow at 10 AM. Please confirm your availability."
Work,"Annual performance review scheduled next Monday. Please prepare your self-assessment."
Work,"Team meeting next Tuesday to discuss upcoming project deadlines and deliverables."
Work,"Thank you for attending the recent webinar. Here are some additional resources to explore."
Work,"Quarterly business review scheduled for next Friday. Please prepare your department’s performance overview."
Work,"Please review the attached project proposal draft and provide feedback by COB tomorrow."
Work,"Reminder: All project managers must submit weekly reports by Thursday."
Work,"Update: The client meeting has been postponed to Thursday at 3 PM. Let me know if you’re available."
Work,"New guidelines for remote work arrangements starting next month. Details in the attached document."
Work,"Notice: System maintenance scheduled for Saturday. Expect potential downtimes."
Work,"Reminder: Employee feedback session tomorrow. Join the link shared in the calendar invite."
Work,"Action required: Update your project tracking spreadsheet before the team review."
Work,"Training session on new software next Wednesday. Please RSVP if you can attend."
Work,"Expense reports for Q3 are due. Please submit your documents by Friday."
Work,"The client has requested a summary of our Q4 objectives. Please have it ready by next meeting."
Work,"Document review needed: Please provide your comments on the latest draft by Friday afternoon."
Work,"HR has scheduled your benefits review. Please bring any questions you may have."
Work,"Employee satisfaction survey available. Please take a few minutes to complete it."
Work,"Update your work availability for next quarter in the company portal by Monday."
Work,"The new project timeline is available. Please review and acknowledge."
Work,"Please submit your finalized project scope documents by the end of the day."
Work,"Department training on compliance protocols will take place next Wednesday."
Work,"Reminder: Complete your timesheets for this week by Friday afternoon."
Work,"The CEO’s presentation has been uploaded. Please review before the team meeting."
Work,"Final draft of the budget proposal is due next Tuesday. Please make any final adjustments."
Work,"Company-wide meeting scheduled for Friday morning. Attendance is mandatory."
Work,"Please review the attached client feedback and prepare a response."
Work,"Inventory report update needed. Please submit by the end of this week."
Work,"Prepare an agenda for the upcoming board meeting. Let me know if you need input."
Work,"All employees are required to complete cybersecurity training by the end of the month."
Work,"We’re conducting performance appraisals next week. Please schedule a time with your supervisor."
Work,"Reminder: Expense reimbursements are due for submission by Friday."
Work,"Client satisfaction survey results are in. Please review and prepare a report."
Work,"The quarterly performance metrics report is now available. Review it at your earliest convenience."
Work,"Sales team meeting tomorrow at 3 PM. Please bring updated client summaries."
Work,"HR has posted the new health and safety guidelines. Please review."
Work,"All staff are requested to update emergency contact details in the employee portal."
Work,"Reminder: Budget requests for next fiscal year are due by next month."
Work,"Management has scheduled a feedback session next Tuesday. Your attendance is appreciated."
Work,"Please review the attached training materials before attending the workshop."
Work,"New team members will be introduced in tomorrow’s meeting. Please join to welcome them."
Work,"Departmental report for this quarter is due next week. Please begin gathering data."
Work,"Your annual performance metrics are ready for review. Log into the portal to access."
Work,"Client meeting on Monday morning. Please review the project goals beforehand."
Work,"Complete the attached compliance checklist by the end of this week."
Work,"Reminder: Office will be closed on Monday for the public holiday."
Work,"Upcoming deadline: Submit draft report for internal review by Wednesday."
Work,"Please provide an update on project progress in tomorrow’s meeting."
Work,"Please register for the upcoming leadership training session."
Work,"Upload your signed agreements for the current project into the shared drive."
Work,"Team outing scheduled for next Thursday. RSVP if you plan to attend."
Work,"A detailed status report on the project’s progress is needed by COB today."
Work,"Please prepare your presentations for the monthly performance review meeting."
Work,"Newly revised team policies are available. Please familiarize yourself with them."
Work,"Quarterly financial review meeting scheduled for next week."
Work,"The final draft of the project proposal needs your approval by Thursday."
Work,"Reminder: Add your travel plans to the shared calendar."
Work,"Your workstation upgrade will be scheduled soon. Please clear any personal items."
Work,"We’ll be hosting a workshop on time management next Wednesday. Attendance is optional."
Work,"Please complete the attached document review checklist before submission."
Work,"Reminder: Complete the skills assessment survey by end of week."
Work,"All staff must attend the workplace safety briefing on Tuesday."
Work,"Annual team-building retreat scheduled for March. Confirm your availability."
Work,"Draft agenda for next week’s team meeting attached. Please review."
Work,"Please submit your progress report for the current project phase."
Work,"Reminder: Code reviews will take place on Thursday. Please prepare any necessary files."
Work,"Training session on the new software tools scheduled for next Monday."
Work,"Client meeting follow-up: Please submit a summary report by tomorrow."
Work,"Update your project timelines in the shared tracker by this Friday."
Work,"The IT team will perform maintenance on the server tonight. Expect possible disruptions."
Work,"New compliance standards were added. Ensure your work meets these requirements."
Work,"Manager check-ins are scheduled for this Friday. Please prepare discussion points."
Work,"We’re piloting a new tool for task management. Please complete the trial feedback form."
Work,"The final product review meeting will be held on Thursday. Prepare your updates."
Work,"Draft your upcoming quarter goals and submit them to your team lead."
Work,"Complete the company culture survey to help improve our workplace."
Work,"The monthly team check-in is set for tomorrow. Your participation is encouraged."
Work,"Your quarterly performance review will be next Wednesday. Check your calendar for details."
Work,"Please submit any outstanding timesheets by the end of the month."
Work,"The strategic planning workshop has been scheduled for next Tuesday."
Work,"Our department goals for the next fiscal year are now available. Please review."
Work,"Annual software training will begin next month. Register if you haven’t already."
Work,"Submit your travel expenses for the last quarter by the end of this week."
Work,"Marketing team meeting scheduled for Wednesday to discuss campaign updates."
Work,"HR has published the new employee handbook. Review it at your convenience."
Work,"Please schedule your mid-year performance review with your supervisor."
Work,"Reminder: Office supplies restock requests due by Thursday."
Work,"Prepare your project summary for the end-of-month review."
Work,"Please review the attached budget proposal and provide feedback."
Work,"The team lunch is on Friday at 12 PM. RSVP if you’re attending."
Work,"A new policy on remote work has been implemented. Review and comply."
Work,"Upcoming deadline for annual report submission. Ensure your section is complete."
Work,"Manager requests a list of your completed tasks for this quarter."
Work,"The budget for next year is under review. Submit your requests if needed."
Work,"Update your project progress in the shared document weekly."
Work,"The client expects a summary of our recent progress by Friday."
Work,"Draft a project plan for the new assignment and submit it by tomorrow."
Work,"Please attend the upcoming cross-departmental knowledge-sharing session."
Work,"Annual compliance training scheduled for next week. Attendance is mandatory."
Work,"Your manager requests your project status updates by end of the day."
Work,"Final version of the presentation needed for Monday’s client meeting."
Work,"Reminder: Staff are encouraged to use their vacation days before year-end."
Work,"Please provide feedback on the attached project roadmap by next Tuesday."
Work,"Update your skills profile in the employee portal by end of the month."
Work,"Schedule your one-on-one feedback session with your supervisor."
Work,"All team members must complete the budget training module by Friday."
Work,"Upload your deliverables to the project folder by end of today."
Work,"Confirm your availability for next week’s product planning meeting."
Promotional,"Big discount on Black Friday! Don't miss out on deals up to 50% off on electronics."
Promotional,"Exclusive offer just for you: Sign up today and save 20% on your first purchase."
Promotional,"Congratulations! You’ve won a free entry into this year’s summer sweepstakes. Claim your prize now."
Promotional,"Limited time offer! Get 30% off on all new collections, valid until Sunday!"
Promotional,"You’ve been selected! Redeem your special discount for our new loyalty program members."
Promotional,"Big sale! Get 2-for-1 deals on all accessories until midnight."
Promotional,"Weekend Flash Sale: 15% off site-wide with code FLASH15. Don't miss out!"
Promotional,"Holiday Specials are here! Save big on your favorite items. Offers end soon!"
Promotional,"Sign up today and get early access to our Black Friday deals!"
Promotional,"Just for you: Save 25% on your next purchase. Use code SAVENOW at checkout."
Promotional,"Exclusive deal: Buy one, get one free on selected items for a limited time!"
Promotional,"Check out our new arrivals and enjoy 10% off your first order."
Promotional,"Annual clearance sale starts now! Up to 70% off on selected items."
Promotional,"Free shipping on all orders over $50! Offer ends soon."
Promotional,"Limited edition products available now. Grab yours before they're gone!"
Promotional,"Sign up for our newsletter and receive 15% off your next purchase."
Promotional,"Celebrate the holiday season with special discounts up to 40% off!"
Promotional,"Last chance to grab our best-selling items before they’re sold out!"
Promotional,"Summer sale starts now! Save up to 35% on all outdoor gear."
Promotional,"Free gift with every purchase over $75. Don’t miss out!"
Promotional,"Special offer: Buy three items and get the fourth one free!"
Promotional,"Upgrade your subscription now and enjoy exclusive rewards."
Promotional,"New customers get 10% off on their first order. Shop now!"
Promotional,"Refer a friend and both of you receive a $10 discount."
Promotional,"Enjoy a free sample with every purchase for a limited time."
Promotional,"Save big on kitchen essentials! Discounts up to 50% off."
Promotional,"Celebrate our anniversary with up to 40% off selected items!"
Promotional,"Spring sale is here! Refresh your wardrobe with up to 30% off."
Promotional,"Shop our eco-friendly line and get 20% off your first order."
Promotional,"Our best-selling items are back in stock! Order now."
Promotional,"Members-only discount: 15% off when you log into your account."
Promotional,"Try our new product line and enjoy a 10% discount."
Promotional,"Subscribe now and receive a month of free service."
Promotional,"Download our app and get an exclusive 5% off your first purchase."
Promotional,"This week only: 2-for-1 on all accessories."
Promotional,"Loyalty members earn double points on purchases this weekend!"
Promotional,"Claim your free consultation by signing up today!"
Promotional,"Seasonal sale: Get 25% off on selected garden tools."
Promotional,"Join today and get early access to exclusive discounts."
Promotional,"Weekend-only sale: All items 20% off site-wide."
Promotional,"Student discount available! Get 15% off with valid ID."
Promotional,"Last chance to take advantage of our introductory prices!"
Promotional,"Subscribe to our mailing list and receive 10% off instantly."
Promotional,"Winter clearance: Save up to 60% on selected items."
Promotional,"Sign up for automatic delivery and save 5% on every order."
Promotional,"Enjoy $5 off your next order when you leave a product review."
Promotional,"Back-to-school sale: Discounts on all stationery products."
Promotional,"Exclusive sneak peek: New collection launching soon!"
